#EEP	M/Mo	LogTeff	LogG	LogL/Lo	U	B	V	R	I	J	H	Ks	Kp	D51
191	1.035357	3.6865	3.3246	0.8278	4.8898	4.0084	2.9870	2.4543	1.9881	1.2870	0.7726	0.7018	2.6260	3.2944
192	1.035680	3.6860	3.3034	0.8471	4.8504	3.9646	2.9408	2.4072	1.9399	1.2370	0.7214	0.6502	2.5790	3.2486
193	1.035995	3.6855	3.2809	0.8677	4.8096	3.9185	2.8921	2.3574	1.8891	1.1839	0.6669	0.5953	2.5294	3.2006
194	1.036305	3.6849	3.2577	0.8889	4.7672	3.8708	2.8417	2.3058	1.8363	1.1291	0.6107	0.5386	2.4780	3.1507
195	1.036606	3.6844	3.2332	0.9110	4.7235	3.8213	2.7891	2.2520	1.7812	1.0716	0.5516	0.4790	2.4243	3.0988
196	1.036902	3.6837	3.2078	0.9339	4.6789	3.7703	2.7349	2.1964	1.7243	1.0121	0.4904	0.4173	2.3690	3.0455
197	1.037191	3.6830	3.1815	0.9575	4.6339	3.7183	2.6794	2.1394	1.6657	0.9508	0.4272	0.3536	2.3122	2.9910
198	1.037470	3.6822	3.1542	0.9820	4.5886	3.6650	2.6222	2.0804	1.6051	0.8873	0.3615	0.2871	2.2536	2.9350
199	1.037743	3.6814	3.1258	1.0071	4.5425	3.6105	2.5636	2.0198	1.5427	0.8218	0.2937	0.2187	2.1934	2.8777
200	1.038009	3.6806	3.0968	1.0328	4.4962	3.5550	2.5038	1.9580	1.4790	0.7545	0.2241	0.1485	2.1318	2.8193
201	1.038268	3.6796	3.0668	1.0593	4.4495	3.4984	2.4425	1.8945	1.4136	0.6856	0.1526	0.0763	2.0687	2.7597
202	1.038516	3.6786	3.0359	1.0863	4.4027	3.4409	2.3800	1.8297	1.3467	0.6147	0.0790	0.0019	2.0041	2.6990
203	1.038757	3.6776	3.0042	1.1140	4.3554	3.3823	2.3161	1.7634	1.2781	0.5422	0.0036	-0.0743	1.9382	2.6372
204	1.038991	3.6765	2.9717	1.1422	4.3094	3.3237	2.2518	1.6961	1.2085	0.4682	-0.0736	-0.1524	1.8715	2.5752
205	1.039215	3.6753	2.9381	1.1710	4.2634	3.2644	2.1863	1.6276	1.1374	0.3923	-0.1528	-0.2325	1.8035	2.5122
206	1.039430	3.6741	2.9039	1.2004	4.2174	3.2043	2.1198	1.5579	1.0649	0.3150	-0.2336	-0.3143	1.7343	2.4486
207	1.039637	3.6727	2.8690	1.2301	4.1717	3.1438	2.0527	1.4875	0.9916	0.2364	-0.3158	-0.3976	1.6642	2.3843
208	1.039835	3.6714	2.8334	1.2605	4.1263	3.0829	1.9847	1.4160	0.9170	0.1566	-0.3994	-0.4824	1.5932	2.3195
209	1.040025	3.6700	2.7972	1.2912	4.0813	3.0214	1.9160	1.3437	0.8415	0.0756	-0.4843	-0.5687	1.5214	2.2541
210	1.040207	3.6685	2.7603	1.3222	4.0370	2.9598	1.8469	1.2707	0.7652	-0.0065	-0.5704	-0.6561	1.4490	2.1885
211	1.040381	3.6671	2.7230	1.3536	3.9933	2.8980	1.7773	1.1971	0.6882	-0.0896	-0.6575	-0.7445	1.3759	2.1227
212	1.040549	3.6655	2.6853	1.3852	3.9505	2.8361	1.7074	1.1229	0.6105	-0.1734	-0.7455	-0.8340	1.3023	2.0568
213	1.040707	3.6639	2.6467	1.4175	3.9089	2.7741	1.6368	1.0479	0.5317	-0.2588	-0.8353	-0.9254	1.2280	1.9905
214	1.040859	3.6621	2.6057	1.4514	3.8671	2.7100	1.5632	0.9692	0.4488	-0.3489	-0.9304	-1.0223	1.1499	1.9220
215	1.041023	3.6601	2.5588	1.4904	3.8205	2.6371	1.4796	0.8798	0.3539	-0.4521	-1.0394	-1.1332	1.0609	1.8442
216	1.041265	3.6585	2.5206	1.5223	3.7811	2.5766	1.4107	0.8062	0.2763	-0.5364	-1.1282	-1.2237	0.9879	1.7799
